blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M037,0.356520,0.351822,0.436890,0.393002,0.392934,0.429296,0.441942,0.410599,0.413541,0.394381,0.343495,0.485846,0.630992,0.655741,0.339309,0.409921,0.421193,0.457590,0.410134,0.513678,0.478948,0.268098,0.636889,0.317888,0.445176,0.322916,0.275827,0.204822,0.000000,0.182808,0.516407,0.458065,0.522363,0.460285,0.455400,0.508187,0.474126,0.382154,0.457586,0.373107,0.394841,0.387899,0.346879,0.421867,0.444527,0.623398,0.628539,0.610547,0.564469,0.549252,0.355951,0.337883,0.349903,0.323654,0.455951,0.342719,0.333669,0.503977,0.355174,0.369281,0.588617,0.518735,0.557793
M038,0.319909,0.352148,0.388261,0.425792,0.445038,0.459318,0.471948,0.398033,0.402073,0.401264,0.299613,0.468430,0.642524,0.650461,0.368506,0.384908,0.387104,0.417765,0.396058,0.525495,0.477329,0.333348,0.628361,0.375430,0.466074,0.349460,0.265342,0.267088,0.182808,0.000000,0.517212,0.425853,0.543097,0.428840,0.417898,0.473347,0.438150,0.346753,0.387314,0.333928,0.345937,0.317496,0.322651,0.406826,0.445344,0.560203,0.578094,0.546501,0.499963,0.499486,0.345018,0.332262,0.342033,0.332978,0.477158,0.320944,0.312822,0.434419,0.346874,0.359709,0.502261,0.439923,0.506416
M039,0.416519,0.481652,0.449047,0.384597,0.394559,0.471075,0.424630,0.622367,0.638178,0.570013,0.488359,0.663334,0.888853,0.826740,0.581932,0.558773,0.500413,0.571054,0.380312,0.314691,0.388094,0.461347,0.270451,0.333040,0.230278,0.551835,0.406073,0.490874,0.516407,0.517212,0.000000,0.528342,0.354465,0.526407,0.521871,0.608661,0.529845,0.505362,0.522743,0.569694,0.491023,0.490500,0.399547,0.420065,0.339814,0.634003,0.681774,0.716674,0.708188,0.703644,0.402870,0.401777,0.392882,0.442654,0.418780,0.454352,0.437603,0.573130,0.415722,0.404092,0.651570,0.608042,0.672644
M040,0.241765,0.281117,0.343537,0.255862,0.372478,0.339240,0.349737,0.368783,0.346314,0.365302,0.298526,0.397793,0.723580,0.715000,0.345595,0.335046,0.353666,0.445306,0.258363,0.374909,0.614968,0.445478,0.598144,0.486426,0.547572,0.385348,0.400097,0.399553,0.458065,0.425853,0.528342,0.000000,0.482235,0.334277,0.337789,0.461925,0.310548,0.391083,0.395075,0.407321,0.458738,0.318847,0.360548,0.407982,0.343645,0.436368,0.459231,0.530942,0.546702,0.530488,0.330352,0.339594,0.333346,0.347090,0.544046,0.300086,0.243546,0.348809,0.316412,0.329206,0.422528,0.368500,0.522962
M041,0.380456,0.490699,0.467435,0.351575,0.374332,0.419269,0.433979,0.570744,0.585711,0.532480,0.458647,0.624168,0.873804,0.777414,0.571979,0.514838,0.495068,0.515497,0.383506,0.353910,0.413320,0.446783,0.480828,0.357599,0.351552,0.534618,0.453559,0.494252,0.522363,0.543097,0.354465,0.482235,0.000000,0.486900,0.478270,0.515418,0.461575,0.483793,0.485564,0.538710,0.596616,0.452629,0.391122,0.426925,0.315812,0.550469,0.595507,0.629642,0.602293,0.616859,0.396075,0.369045,0.367614,0.394631,0.432678,0.415531,0.382058,0.495804,0.380330,0.374030,0.568138,0.513478,0.569907
M043,0.264742,0.361575,0.375543,0.344245,0.386916,0.407630,0.413993,0.453106,0.423673,0.433924,0.257191,0.533540,0.775993,0.777424,0.470318,0.372026,0.382253,0.392038,0.358527,0.447557,0.618615,0.440801,0.570633,0.428445,0.540397,0.381104,0.336321,0.375025,0.460285,0.428840,0.526407,0.334277,0.486900,0.000000,0.027282,0.250249,0.339600,0.325518,0.237029,0.352550,0.425489,0.318810,0.362716,0.441090,0.386637,0.269473,0.308598,0.325921,0.322093,0.392634,0.253089,0.266444,0.251166,0.289420,0.530950,0.246458,0.151073,0.267691,0.245367,0.247958,0.249791,0.245870,0.361111
M044,0.259261,0.362112,0.360027,0.340305,0.383112,0.412973,0.402064,0.445697,0.426415,0.423539,0.240438,0.526023,0.770606,0.768640,0.468553,0.358161,0.368238,0.382957,0.357034,0.440051,0.604143,0.442354,0.568196,0.436564,0.544407,0.364457,0.324403,0.372482,0.455400,0.417898,0.521871,0.337789,0.478270,0.027282,0.000000,0.244955,0.344924,0.316735,0.223131,0.345366,0.415181,0.312333,0.357781,0.438929,0.382696,0.273919,0.319889,0.334698,0.312140,0.391393,0.248146,0.259932,0.246924,0.280636,0.522167,0.237675,0.147648,0.269155,0.235768,0.238359,0.258417,0.243387,0.355984
M045,0.364758,0.433426,0.436446,0.492440,0.486695,0.464717,0.484169,0.491725,0.434887,0.485931,0.386688,0.541335,0.749789,0.771239,0.513654,0.416722,0.477093,0.445884,0.483861,0.558861,0.663016,0.523138,0.636737,0.519440,0.612430,0.459852,0.419498,0.444876,0.508187,0.473347,0.608661,0.461925,0.515418,0.250249,0.244955,0.000000,0.409160,0.390324,0.280447,0.371583,0.486459,0.378461,0.442578,0.514980,0.518922,0.342128,0.393171,0.375541,0.317809,0.377298,0.407838,0.393896,0.384172,0.404528,0.528503,0.372301,0.323799,0.349091,0.369462,0.371007,0.338657,0.340186,0.373851
M046,0.285781,0.399286,0.399293,0.366834,0.463799,0.419646,0.472235,0.475987,0.428667,0.446501,0.345165,0.547812,0.811745,0.827320,0.488398,0.427311,0.423354,0.466466,0.309178,0.430642,0.635282,0.462555,0.579289,0.453189,0.536875,0.337191,0.354211,0.361805,0.474126,0.438150,0.529845,0.310548,0.461575,0.339600,0.344924,0.409160,0.000000,0.372463,0.360448,0.447426,0.501020,0.363029,0.393747,0.454564,0.407680,0.454396,0.482366,0.508624,0.450590,0.462945,0.352834,0.366731,0.360482,0.380402,0.543494,0.333870,0.273878,0.362895,0.347837,0.358816,0.440572,0.398560,0.462959
M047,0.301201,0.340311,0.308668,0.375951,0.441504,0.419436,0.436856,0.389837,0.388736,0.378240,0.245539,0.431451,0.621308,0.609373,0.443965,0.335510,0.308216,0.349329,0.349400,0.512179,0.560278,0.411047,0.553643,0.421272,0.498216,0.352054,0.332354,0.343923,0.382154,0.346753,0.505362,0.391083,0.483793,0.325518,0.316735,0.390324,0.372463,0.000000,0.300775,0.219887,0.253122,0.190332,0.261100,0.398726,0.408863,0.432009,0.449947,0.468892,0.420342,0.425898,0.266231,0.239713,0.250034,0.252980,0.380957,0.232182,0.222757,0.332605,0.242035,0.254577,0.407824,0.312770,0.414996
