blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M071,0.047351,0.096283,0.233571,0.114906,0.140216,0.136108,0.119321,0.154627,0.071775,0.157875,0.107822,0.214575,0.362631,0.633824,0.103221,0.131986,0.260688,0.401804,0.075995,0.138229,0.364141,0.116043,0.542909,0.140216,0.270936,0.305626,0.161173,0.184386,0.129466,0.093826,0.389497,0.080032,0.513528,0.369936,0.345264,0.340055,0.234283,0.245047,0.275639,0.175281,0.282444,0.151720,0.274186,0.165952,0.297102,0.365963,0.369936,0.369936,0.338956,0.345096,0.000000,0.000000,0.000000,0.000000,0.348128,0.000000,0.000000,0.304898,0.000000,0.000000,0.368401,0.278390,0.278414
M072,0.047351,0.096283,0.233571,0.114906,0.140216,0.136108,0.119321,0.154627,0.071775,0.157875,0.107822,0.214575,0.362631,0.633824,0.103221,0.131986,0.260688,0.401804,0.075995,0.138229,0.364141,0.116043,0.542909,0.140216,0.270936,0.305626,0.161173,0.184386,0.129466,0.093826,0.389497,0.080032,0.513528,0.369936,0.345264,0.340055,0.234283,0.245047,0.275639,0.175281,0.282444,0.151720,0.274186,0.165952,0.297102,0.365963,0.369936,0.369936,0.338956,0.345096,0.000000,0.000000,0.000000,0.000000,0.348128,0.000000,0.000000,0.304898,0.000000,0.000000,0.368401,0.278390,0.278414
M073,0.047351,0.096283,0.233571,0.114906,0.140216,0.136108,0.119321,0.154627,0.071775,0.157875,0.107822,0.214575,0.362631,0.633824,0.103221,0.131986,0.260688,0.401804,0.075995,0.138229,0.364141,0.116043,0.542909,0.140216,0.270936,0.305626,0.161173,0.184386,0.129466,0.093826,0.389497,0.080032,0.513528,0.369936,0.345264,0.340055,0.234283,0.245047,0.275639,0.175281,0.282444,0.151720,0.274186,0.165952,0.297102,0.365963,0.369936,0.369936,0.338956,0.345096,0.000000,0.000000,0.000000,0.000000,0.348128,0.000000,0.000000,0.304898,0.000000,0.000000,0.368401,0.278390,0.278414
M074,0.047351,0.096283,0.233571,0.114906,0.140216,0.136108,0.119321,0.154627,0.071775,0.157875,0.107822,0.214575,0.362631,0.633824,0.103221,0.131986,0.260688,0.401804,0.075995,0.138229,0.364141,0.116043,0.542909,0.140216,0.270936,0.305626,0.161173,0.184386,0.129466,0.093826,0.389497,0.080032,0.513528,0.369936,0.345264,0.340055,0.234283,0.245047,0.275639,0.175281,0.282444,0.151720,0.274186,0.165952,0.297102,0.365963,0.369936,0.369936,0.338956,0.345096,0.000000,0.000000,0.000000,0.000000,0.348128,0.000000,0.000000,0.304898,0.000000,0.000000,0.368401,0.278390,0.278414
M075,0.369019,0.351293,0.523691,0.245736,0.271046,0.231359,0.256108,0.310178,0.386806,0.345273,0.385996,0.295507,0.396718,0.430957,0.320274,0.335141,0.286525,0.581614,0.320683,0.272038,0.172117,0.246873,0.567876,0.271046,0.140327,0.528403,0.417804,0.400369,0.356397,0.414794,0.255692,0.424211,0.403516,0.718065,0.693392,0.688183,0.532148,0.395639,0.623767,0.422642,0.501775,0.345073,0.261312,0.216417,0.304571,0.714091,0.718065,0.718065,0.687084,0.693224,0.348128,0.348128,0.348128,0.348128,0.000000,0.348128,0.348128,0.653027,0.348128,0.348128,0.716530,0.626518,0.561182
M076,0.047351,0.096283,0.233571,0.114906,0.140216,0.136108,0.119321,0.154627,0.071775,0.157875,0.107822,0.214575,0.362631,0.633824,0.103221,0.131986,0.260688,0.401804,0.075995,0.138229,0.364141,0.116043,0.542909,0.140216,0.270936,0.305626,0.161173,0.184386,0.129466,0.093826,0.389497,0.080032,0.513528,0.369936,0.345264,0.340055,0.234283,0.245047,0.275639,0.175281,0.282444,0.151720,0.274186,0.165952,0.297102,0.365963,0.369936,0.369936,0.338956,0.345096,0.000000,0.000000,0.000000,0.000000,0.348128,0.000000,0.000000,0.304898,0.000000,0.000000,0.368401,0.278390,0.278414
M077,0.047351,0.096283,0.233571,0.114906,0.140216,0.136108,0.119321,0.154627,0.071775,0.157875,0.107822,0.214575,0.362631,0.633824,0.103221,0.131986,0.260688,0.401804,0.075995,0.138229,0.364141,0.116043,0.542909,0.140216,0.270936,0.305626,0.161173,0.184386,0.129466,0.093826,0.389497,0.080032,0.513528,0.369936,0.345264,0.340055,0.234283,0.245047,0.275639,0.175281,0.282444,0.151720,0.274186,0.165952,0.297102,0.365963,0.369936,0.369936,0.338956,0.345096,0.000000,0.000000,0.000000,0.000000,0.348128,0.000000,0.000000,0.304898,0.000000,0.000000,0.368401,0.278390,0.278414
M078,0.303916,0.399745,0.496615,0.419804,0.413830,0.429630,0.412844,0.413950,0.343010,0.456802,0.312535,0.507562,0.648285,0.934962,0.408120,0.356754,0.528401,0.439738,0.363628,0.411843,0.643443,0.418097,0.722682,0.413830,0.544550,0.382179,0.403135,0.438289,0.428521,0.323554,0.645846,0.297073,0.795520,0.254639,0.254471,0.236402,0.215613,0.265920,0.103030,0.241761,0.370395,0.352510,0.418060,0.436610,0.513493,0.258612,0.254639,0.254639,0.160458,0.229798,0.304898,0.304898,0.304898,0.304898,0.653027,0.304898,0.304898,0.000000,0.304898,0.304898,0.237304,0.133603,0.198939
M079,0.047351,0.096283,0.233571,0.114906,0.140216,0.136108,0.119321,0.154627,0.071775,0.157875,0.107822,0.214575,0.362631,0.633824,0.103221,0.131986,0.260688,0.401804,0.075995,0.138229,0.364141,0.116043,0.542909,0.140216,0.270936,0.305626,0.161173,0.184386,0.129466,0.093826,0.389497,0.080032,0.513528,0.369936,0.345264,0.340055,0.234283,0.245047,0.275639,0.175281,0.282444,0.151720,0.274186,0.165952,0.297102,0.365963,0.369936,0.369936,0.338956,0.345096,0.000000,0.000000,0.000000,0.000000,0.348128,0.000000,0.000000,0.304898,0.000000,0.000000,0.368401,0.278390,0.278414
M080,0.047351,0.096283,0.233571,0.114906,0.140216,0.136108,0.119321,0.154627,0.071775,0.157875,0.107822,0.214575,0.362631,0.633824,0.103221,0.131986,0.260688,0.401804,0.075995,0.138229,0.364141,0.116043,0.542909,0.140216,0.270936,0.305626,0.161173,0.184386,0.129466,0.093826,0.389497,0.080032,0.513528,0.369936,0.345264,0.340055,0.234283,0.245047,0.275639,0.175281,0.282444,0.151720,0.274186,0.165952,0.297102,0.365963,0.369936,0.369936,0.338956,0.345096,0.000000,0.000000,0.000000,0.000000,0.348128,0.000000,0.000000,0.304898,0.000000,0.000000,0.368401,0.278390,0.278414
M081,0.367419,0.462117,0.558045,0.483307,0.477333,0.493134,0.476347,0.477453,0.406513,0.520305,0.391839,0.571065,0.711788,0.998465,0.471623,0.420257,0.591904,0.498798,0.427131,0.475347,0.706946,0.481600,0.750487,0.477333,0.608053,0.386577,0.341386,0.414280,0.479582,0.418657,0.709349,0.376376,0.846580,0.017335,0.023138,0.050368,0.385833,0.424223,0.183613,0.384264,0.512899,0.442346,0.536864,0.505380,0.624396,0.021308,0.017335,0.017335,0.076846,0.023305,0.368401,0.368401,0.368401,0.368401,0.716530,0.368401,0.368401,0.237304,0.368401,0.368401,0.000000,0.121612,0.155347
M082,0.277407,0.373237,0.470107,0.393296,0.387322,0.403122,0.386335,0.387441,0.316501,0.430293,0.286027,0.481053,0.621777,0.908453,0.381611,0.330245,0.501892,0.413230,0.337120,0.385335,0.616935,0.391589,0.660475,0.387322,0.518041,0.382420,0.350918,0.398926,0.402013,0.297045,0.619338,0.270564,0.769011,0.138947,0.138779,0.143554,0.334889,0.302612,0.120854,0.262653,0.391287,0.326001,0.415252,0.410101,0.502785,0.142920,0.138947,0.138947,0.060566,0.114106,0.278390,0.278390,0.278390,0.278390,0.626518,0.278390,0.278390,0.133603,0.278390,0.278390,0.121612,0.000000,0.065336
M083,0.277431,0.374697,0.475972,0.393320,0.387346,0.337786,0.386359,0.343513,0.316525,0.430318,0.278781,0.437126,0.556441,0.843118,0.381636,0.288951,0.454072,0.372287,0.337144,0.385359,0.551599,0.391613,0.621629,0.387346,0.452706,0.447755,0.350942,0.398950,0.402037,0.344470,0.554002,0.302188,0.703676,0.156882,0.156714,0.193090,0.400225,0.284676,0.186189,0.244717,0.373351,0.302799,0.397317,0.365832,0.532746,0.160856,0.156882,0.156882,0.125902,0.132042,0.278414,0.278414,0.278414,0.278414,0.561182,0.278414,0.278414,0.198939,0.278414,0.278414,0.155347,0.065336,0.000000
