blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M034,0.378005,0.525327,0.342099,0.325439,0.552943,0.585560,0.455727,0.562735,0.623456,0.464096,0.290610,0.523158,0.746245,0.671917,0.700757,0.458543,0.269049,0.344697,0.305619,0.562852,0.577025,0.416661,0.345400,0.553700,0.625996,0.000000,0.389589,0.284043,0.430996,0.408938,0.429779,0.414892,0.430165,0.290610,0.290610,0.549321,0.338207,0.245361,0.282242,0.416418,0.265401,0.248341,0.439788,0.630037,0.363784,0.239483,0.229505,0.343534,0.502203,0.373855,0.290610,0.290610,0.290610,0.290610,0.482817,0.290610,0.290610,0.341845,0.290610,0.290610,0.153257,0.224355,0.497251
M035,0.285410,0.415513,0.381619,0.426328,0.439497,0.484262,0.455183,0.418131,0.578767,0.447689,0.214384,0.484854,0.685759,0.593380,0.587236,0.424716,0.309087,0.307225,0.391889,0.439972,0.357805,0.204563,0.309579,0.300292,0.414756,0.389589,0.000000,0.286546,0.196563,0.217968,0.288377,0.479863,0.366117,0.214384,0.214384,0.489458,0.472564,0.242603,0.260020,0.279402,0.247659,0.318164,0.274086,0.394139,0.317631,0.345809,0.463120,0.527611,0.484273,0.511100,0.214384,0.214384,0.214384,0.214384,0.411775,0.214384,0.214384,0.297270,0.214384,0.214384,0.333547,0.353455,0.502716
M036,0.286280,0.369886,0.350096,0.390287,0.465444,0.455619,0.416020,0.328219,0.414411,0.314729,0.243904,0.367837,0.490798,0.483200,0.457841,0.269516,0.226875,0.259422,0.404226,0.630879,0.545241,0.300869,0.439947,0.427456,0.668203,0.284043,0.286546,0.000000,0.279471,0.371177,0.473497,0.472367,0.399878,0.243904,0.243904,0.392556,0.415530,0.304093,0.292184,0.316276,0.261711,0.270411,0.377724,0.544292,0.328783,0.414907,0.476165,0.478357,0.431479,0.421128,0.243904,0.243904,0.243904,0.243904,0.393032,0.243904,0.243904,0.387037,0.243904,0.243904,0.363247,0.369446,0.445594
M037,0.320215,0.466790,0.446566,0.491275,0.442674,0.491824,0.510490,0.349627,0.510254,0.454735,0.293111,0.462529,0.569282,0.505718,0.474271,0.384643,0.376379,0.310494,0.484119,0.510219,0.435683,0.177111,0.439653,0.314256,0.440344,0.430996,0.196563,0.279471,0.000000,0.179040,0.409272,0.604195,0.349030,0.293111,0.293111,0.428189,0.512754,0.292580,0.283128,0.221961,0.245104,0.357577,0.239007,0.382570,0.384644,0.422414,0.528618,0.518661,0.465238,0.512749,0.293111,0.293111,0.293111,0.293111,0.430594,0.293111,0.293111,0.315908,0.293111,0.293111,0.420846,0.390074,0.488360
M038,0.356144,0.555347,0.473681,0.528989,0.465503,0.571047,0.548204,0.519475,0.646936,0.533967,0.333621,0.573074,0.706722,0.586378,0.637660,0.509762,0.417258,0.369270,0.479318,0.532891,0.450603,0.272161,0.423293,0.386857,0.408082,0.408938,0.217968,0.371177,0.179040,0.000000,0.392912,0.614632,0.353201,0.333621,0.333621,0.495596,0.536021,0.326745,0.316653,0.294319,0.289972,0.392387,0.287979,0.468291,0.400536,0.394029,0.485651,0.495122,0.467089,0.503226,0.333621,0.333621,0.333621,0.333621,0.511914,0.333621,0.333621,0.289013,0.333621,0.333621,0.382846,0.323145,0.503408
M039,0.332176,0.450737,0.280829,0.250467,0.429508,0.525211,0.426445,0.590300,0.715385,0.589120,0.289240,0.603842,0.827190,0.702032,0.721742,0.559468,0.405579,0.429399,0.249370,0.251125,0.323169,0.354318,0.113190,0.399693,0.307352,0.429779,0.288377,0.473497,0.409272,0.392912,0.000000,0.346011,0.305984,0.289240,0.289240,0.627667,0.513680,0.343238,0.322802,0.439814,0.357492,0.405082,0.264273,0.421125,0.241326,0.283015,0.387388,0.561647,0.626438,0.579142,0.289240,0.289240,0.289240,0.289240,0.467721,0.289240,0.289240,0.283888,0.289240,0.289240,0.344185,0.389162,0.587302
M040,0.327967,0.392220,0.288234,0.198558,0.408415,0.370651,0.271231,0.618258,0.546924,0.517376,0.338499,0.455151,0.717557,0.652495,0.585919,0.493487,0.394278,0.502183,0.285601,0.379000,0.573640,0.507329,0.335417,0.600042,0.627457,0.414892,0.479863,0.472367,0.604195,0.614632,0.346011,0.000000,0.454943,0.338499,0.338499,0.563410,0.502684,0.381199,0.393233,0.492352,0.446978,0.418087,0.434582,0.549145,0.255359,0.407727,0.463560,0.575326,0.685163,0.562346,0.338499,0.338499,0.338499,0.338499,0.499480,0.338499,0.338499,0.446826,0.338499,0.338499,0.386838,0.474109,0.631471
M041,0.255679,0.483551,0.291552,0.282827,0.438839,0.443211,0.459146,0.541297,0.612990,0.467573,0.232021,0.510532,0.705133,0.613699,0.638702,0.454998,0.365375,0.292093,0.335878,0.405754,0.349618,0.321634,0.318654,0.315267,0.402166,0.430165,0.366117,0.399878,0.349030,0.353201,0.305984,0.454943,0.000000,0.232021,0.232021,0.475902,0.351666,0.283829,0.276920,0.323893,0.291961,0.304023,0.248304,0.440639,0.248940,0.312438,0.388567,0.467371,0.437426,0.440560,0.232021,0.232021,0.232021,0.232021,0.396085,0.232021,0.232021,0.262538,0.232021,0.232021,0.350449,0.315562,0.402035
M043,0.135328,0.293907,0.189538,0.224501,0.317771,0.348260,0.302284,0.405725,0.484643,0.336196,0.000000,0.390744,0.599434,0.517132,0.545503,0.328979,0.202500,0.212392,0.302880,0.409906,0.385031,0.218421,0.300282,0.309089,0.521435,0.290610,0.214384,0.243904,0.293111,0.333621,0.289240,0.338499,0.232021,0.000000,0.000000,0.354756,0.339463,0.140245,0.147880,0.211993,0.169418,0.156542,0.181612,0.405633,0.203042,0.259955,0.368165,0.445371,0.394354,0.401900,0.000000,0.000000,0.000000,0.000000,0.273589,0.000000,0.000000,0.255195,0.000000,0.000000,0.251240,0.255998,0.421598
M044,0.135328,0.293907,0.189538,0.224501,0.317771,0.348260,0.302284,0.405725,0.484643,0.336196,0.000000,0.390744,0.599434,0.517132,0.545503,0.328979,0.202500,0.212392,0.302880,0.409906,0.385031,0.218421,0.300282,0.309089,0.521435,0.290610,0.214384,0.243904,0.293111,0.333621,0.289240,0.338499,0.232021,0.000000,0.000000,0.354756,0.339463,0.140245,0.147880,0.211993,0.169418,0.156542,0.181612,0.405633,0.203042,0.259955,0.368165,0.445371,0.394354,0.401900,0.000000,0.000000,0.000000,0.000000,0.273589,0.000000,0.000000,0.255195,0.000000,0.000000,0.251240,0.255998,0.421598
