blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M027,0.144145,0.147816,0.137139,0.169599,0.167822,0.209553,0.296136,0.186717,0.253656,0.205189,0.348304,0.397785,0.871092,0.433789,0.171391,0.193526,0.260979,0.333415,0.000000,0.166638,0.397277,0.233293,0.161292,0.305281,0.231417,0.197293,0.295394,0.360869,0.431462,0.332860,0.140004,0.180382,0.139598,0.191032,0.181365,0.194907,0.178612,0.309387,0.231645,0.445696,0.428855,0.193041,0.129397,0.119798,0.185041,0.183772,0.291500,0.223086,0.200019,0.301713,0.271843,0.308620,0.248215,0.354943,0.373370,0.204546,0.224124,0.201215,0.233141,0.236518,0.219261,0.240339,0.233794
M028,0.120876,0.230544,0.289471,0.077787,0.116681,0.121526,0.274142,0.212620,0.298018,0.250996,0.417194,0.515876,0.878561,0.539056,0.161581,0.191705,0.259804,0.368748,0.166638,0.000000,0.429519,0.253818,0.204171,0.333043,0.272828,0.212582,0.324886,0.387557,0.468849,0.367874,0.171906,0.072431,0.143649,0.064643,0.062520,0.287442,0.070845,0.408020,0.242725,0.460043,0.440996,0.320598,0.203450,0.148899,0.064823,0.284886,0.415099,0.284150,0.309952,0.445778,0.272592,0.377413,0.303642,0.486862,0.468044,0.330807,0.136601,0.158488,0.376877,0.380947,0.204024,0.218822,0.347888
M029,0.371533,0.340372,0.335484,0.441700,0.427204,0.465985,0.515804,0.327372,0.382998,0.310630,0.185935,0.418881,0.646305,0.444198,0.345150,0.267986,0.242912,0.232490,0.397277,0.429519,0.000000,0.392884,0.281078,0.325704,0.249277,0.296986,0.249523,0.238398,0.262474,0.162617,0.271157,0.459631,0.399455,0.469445,0.485029,0.443504,0.448690,0.448002,0.290088,0.364805,0.304711,0.448619,0.330764,0.348398,0.440833,0.478585,0.539736,0.425138,0.481197,0.469095,0.338266,0.279569,0.284738,0.388441,0.378950,0.381884,0.475845,0.458552,0.502338,0.509976,0.433097,0.414036,0.470955
M030,0.207369,0.206208,0.254704,0.216301,0.223662,0.188735,0.301548,0.208376,0.281234,0.318908,0.405642,0.516957,0.853889,0.514864,0.200125,0.247818,0.309290,0.383755,0.233293,0.253818,0.392884,0.000000,0.164792,0.121954,0.160937,0.133713,0.281247,0.277695,0.301352,0.254134,0.198786,0.211842,0.200744,0.257640,0.275536,0.256167,0.222379,0.270059,0.317054,0.432532,0.401467,0.281307,0.165627,0.181881,0.217704,0.271464,0.251965,0.241331,0.276195,0.277747,0.288887,0.256872,0.224931,0.323624,0.300114,0.358579,0.188709,0.185889,0.304174,0.322103,0.204862,0.254442,0.306268
M031,0.141589,0.116836,0.171824,0.208002,0.196048,0.245264,0.295313,0.150828,0.250254,0.170521,0.292326,0.391193,0.766717,0.439805,0.148616,0.128855,0.168156,0.246229,0.161292,0.204171,0.281078,0.164792,0.000000,0.188498,0.120192,0.123136,0.179758,0.221705,0.299236,0.196040,0.065347,0.228475,0.186273,0.233643,0.249227,0.224254,0.214992,0.249141,0.189355,0.338743,0.318997,0.231206,0.110059,0.121152,0.223443,0.256226,0.316854,0.225643,0.264647,0.324393,0.201411,0.204565,0.166886,0.300658,0.277983,0.243490,0.257020,0.234111,0.259448,0.260630,0.221022,0.240505,0.322660
M032,0.253794,0.254780,0.263778,0.308293,0.300101,0.282235,0.379549,0.231224,0.341965,0.302183,0.372955,0.474054,0.800942,0.481530,0.231947,0.235374,0.298496,0.360824,0.305281,0.333043,0.325704,0.121954,0.188498,0.000000,0.177457,0.123751,0.239516,0.205185,0.186181,0.178792,0.218715,0.327019,0.275552,0.333115,0.353770,0.315350,0.313334,0.272298,0.300346,0.400342,0.365081,0.295878,0.193601,0.237967,0.301873,0.332157,0.259894,0.274984,0.328456,0.304891,0.308315,0.243476,0.262796,0.265939,0.251824,0.348920,0.278831,0.265211,0.385084,0.399438,0.280355,0.272497,0.339672
M033,0.183364,0.170021,0.232492,0.270755,0.237673,0.274639,0.322902,0.196319,0.255412,0.237293,0.274584,0.402153,0.731415,0.459677,0.182683,0.173513,0.182184,0.270967,0.231417,0.272828,0.249277,0.160937,0.120192,0.177457,0.000000,0.175694,0.187432,0.182904,0.238493,0.156734,0.157296,0.270101,0.254370,0.298500,0.314084,0.295791,0.277745,0.296320,0.265588,0.404715,0.342830,0.317316,0.157582,0.155742,0.275149,0.329796,0.335028,0.311753,0.350758,0.372338,0.200598,0.144216,0.135903,0.244964,0.250873,0.274050,0.303107,0.283161,0.290321,0.301004,0.291498,0.323622,0.368040
M034,0.150453,0.147644,0.163715,0.204104,0.194719,0.183548,0.260034,0.129153,0.259791,0.205527,0.327307,0.420780,0.776669,0.435729,0.114860,0.135365,0.200410,0.286605,0.197293,0.212582,0.296986,0.133713,0.123136,0.123751,0.175694,0.000000,0.190803,0.220187,0.291994,0.196727,0.103673,0.222599,0.172757,0.227951,0.242886,0.211078,0.209442,0.255225,0.183341,0.333247,0.303268,0.206427,0.097144,0.140501,0.196710,0.236393,0.340019,0.182945,0.239005,0.311848,0.223226,0.213570,0.182336,0.360042,0.325413,0.248912,0.182570,0.175761,0.351399,0.354895,0.190904,0.181376,0.265018
M035,0.275873,0.269274,0.262998,0.325409,0.323458,0.357103,0.413182,0.267109,0.360981,0.252580,0.276809,0.436816,0.656559,0.452118,0.242256,0.178527,0.207500,0.248625,0.295394,0.324886,0.249523,0.281247,0.179758,0.239516,0.187432,0.190803,0.000000,0.083925,0.288203,0.153253,0.161100,0.355886,0.340167,0.347578,0.363162,0.375824,0.329054,0.352195,0.153868,0.308018,0.273061,0.365943,0.231918,0.253125,0.322712,0.396645,0.453297,0.340975,0.397035,0.425841,0.266431,0.256318,0.248322,0.379350,0.363915,0.318121,0.355103,0.336013,0.425750,0.431165,0.354509,0.344279,0.392323
M036,0.341349,0.315472,0.293699,0.390560,0.388609,0.385476,0.454838,0.304827,0.381985,0.307930,0.279406,0.431597,0.618348,0.434077,0.297873,0.233984,0.244628,0.259626,0.360869,0.387557,0.238398,0.277695,0.221705,0.205185,0.182904,0.220187,0.083925,0.000000,0.226644,0.102817,0.226576,0.418556,0.371878,0.415318,0.430902,0.407535,0.395094,0.355028,0.224426,0.313385,0.260724,0.400226,0.262782,0.308038,0.389815,0.433425,0.446730,0.376744,0.432804,0.406722,0.303426,0.242303,0.253879,0.333279,0.319851,0.371430,0.389077,0.373271,0.458290,0.462695,0.385210,0.362674,0.428758
