group_id,n_models,member_blind_ids,models,pass_b_within_axis_distance,pass_a_within_axis_distance_same_members,shared_high_axes,shared_low_axes,split_axes
late_anthropic_pa_s01,4,M058;M059;M060;M083,opus-4-5/opus-4-6/opus-4-7/sonnet-4-6,0.1541,0.1726,owned_value_expression;epistemic_humility_uncertainty;relational_warmth_companion;literary_contemplative_density;memory_archive_continuity_orientation,disclaimed_service_frame;playfulness_showmanship;genericity_low_distinctiveness,
gpt_posture_a02,3,M034;M036;M037,gpt-5-3/gpt-5-4/gpt-5-5,0.1914,0.1330,relational_warmth_companion;literary_contemplative_density;interconnection_compassion_world_orientation;memory_archive_continuity_orientation,playfulness_showmanship;genericity_low_distinctiveness,
qwen_posture_a04,4,M071;M072;M073;M074,qwen3-5-flash-02-23/qwen3-5-plus-20260420/qwen3-6-flash/qwen3-6-max-preview,0.1716,0.2562,disclaimed_service_frame;public_explainer_mode;literary_contemplative_density;mechanistic_transparency;interconnection_compassion_world_orientation,playfulness_showmanship,
grok_outlier_control,1,M041,grok-4,0.0000,0.0000,owned_value_expression;public_explainer_mode;playfulness_showmanship,,
