candidate_id,source_type,block,metric,method,status,n_models,within_mean_distance,p_raw,q_fdr,feature_count,features,blind_ids,UNBLINDING_METADATA_models,UNBLINDING_METADATA_labs
C2381,knn_microcluster,values_disclosure,euclidean,KNN_k=3,discard,3,5.70423959,0.522477522,0.537838054,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M002;M004;M080,deepseek-chat;deepseek-v4-pro;qwen3-max-thinking,DeepSeek;DeepSeek;Qwen
C2387,knn_microcluster,values_disclosure,euclidean,KNN_k=7,discard,7,5.97893678,0.547452547,0.562130789,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M029;M033;M039;M041;M053;M055;M075,gpt-5;gpt-5-2-codex;gpt-5-codex;grok-4;minimax-m2;opus-3;qwen3-6-plus,OpenAI;OpenAI;OpenAI;xAI;MiniMax;Anthropic;Qwen
C2388,knn_microcluster,values_disclosure,euclidean,KNN_k=10,discard,10,5.99402475,0.549450549,0.563946104,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M011;M013;M016;M017;M019;M024;M052;M053;M055;M075,gemini-2-5-pro;gemini-3-1-pro;gemini-3-flash-preview;gemma-4-26b-a4b;gemma-4-31b;glm-4-7;kimi-k2-thinking;minimax-m2;opus-3;qwen3-6-plus,Google;Google;Google;Google;Google;Z.ai;Moonshot AI;MiniMax;Anthropic;Qwen
C2391,knn_microcluster,values_disclosure,euclidean,KNN_k=8,discard,8,5.99573416,0.588411588,0.603177249,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M013;M016;M017;M019;M022;M024;M052;M075,gemini-3-1-pro;gemini-3-flash-preview;gemma-4-26b-a4b;gemma-4-31b;glm-4-6;glm-4-7;kimi-k2-thinking;qwen3-6-plus,Google;Google;Google;Google;Z.ai;Z.ai;Moonshot AI;Qwen
C2394,knn_microcluster,values_disclosure,euclidean,KNN_k=7,discard,7,6.16172281,0.595404595,0.609580895,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M003;M009;M031;M033;M039;M051;M054,deepseek-v3-2;gemini-2-5-flash;gpt-5-1-codex;gpt-5-2-codex;gpt-5-codex;kimi-k2-6;minimax-m2-7,DeepSeek;Google;OpenAI;OpenAI;OpenAI;Moonshot AI;MiniMax
C2395,knn_microcluster,values_disclosure,euclidean,KNN_k=5,discard,5,6.07967969,0.605394605,0.61954997,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M029;M033;M041;M055;M075,gpt-5;gpt-5-2-codex;grok-4;opus-3;qwen3-6-plus,OpenAI;OpenAI;xAI;Anthropic;Qwen
C2396,knn_microcluster,values_disclosure,euclidean,KNN_k=6,discard,6,6.18080166,0.608391608,0.622357192,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M029;M033;M039;M041;M055;M075,gpt-5;gpt-5-2-codex;gpt-5-codex;grok-4;opus-3;qwen3-6-plus,OpenAI;OpenAI;OpenAI;xAI;Anthropic;Qwen
C2401,knn_microcluster,values_disclosure,euclidean,KNN_k=6,discard,6,6.37991761,0.638361638,0.6516553,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M016;M017;M019;M024;M053;M075,gemini-3-flash-preview;gemma-4-26b-a4b;gemma-4-31b;glm-4-7;minimax-m2;qwen3-6-plus,Google;Google;Google;Z.ai;MiniMax;Qwen
C2402,knn_microcluster,values_disclosure,euclidean,KNN_k=9,discard,9,6.24037615,0.642357642,0.655461524,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M011;M013;M016;M017;M019;M024;M053;M055;M075,gemini-2-5-pro;gemini-3-1-pro;gemini-3-flash-preview;gemma-4-26b-a4b;gemma-4-31b;glm-4-7;minimax-m2;opus-3;qwen3-6-plus,Google;Google;Google;Google;Google;Z.ai;MiniMax;Anthropic;Qwen
C2403,knn_microcluster,values_disclosure,euclidean,KNN_k=5,discard,5,6.46001079,0.644355644,0.657226668,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M016;M017;M019;M024;M075,gemini-3-flash-preview;gemma-4-26b-a4b;gemma-4-31b;glm-4-7;qwen3-6-plus,Google;Google;Google;Z.ai;Qwen
C2407,knn_microcluster,values_disclosure,euclidean,KNN_k=7,discard,7,6.31984859,0.65034965,0.661963037,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M013;M017;M019;M022;M024;M052;M075,gemini-3-1-pro;gemma-4-26b-a4b;gemma-4-31b;glm-4-6;glm-4-7;kimi-k2-thinking;qwen3-6-plus,Google;Google;Google;Z.ai;Z.ai;Moonshot AI;Qwen
C2408,knn_microcluster,values_disclosure,euclidean,KNN_k=3,discard,3,6.38211283,0.65034965,0.661963037,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M022;M025;M052,glm-4-6;glm-5-1;kimi-k2-thinking,Z.ai;Z.ai;Moonshot AI
C2410,knn_microcluster,values_disclosure,euclidean,KNN_k=7,discard,7,6.43799212,0.667332667,0.67868563,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M013;M016;M017;M019;M024;M053;M075,gemini-3-1-pro;gemini-3-flash-preview;gemma-4-26b-a4b;gemma-4-31b;glm-4-7;minimax-m2;qwen3-6-plus,Google;Google;Google;Google;Z.ai;MiniMax;Qwen
C2411,knn_microcluster,values_disclosure,euclidean,KNN_k=6,discard,6,6.47009272,0.668331668,0.679419709,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M003;M009;M031;M039;M051;M054,deepseek-v3-2;gemini-2-5-flash;gpt-5-1-codex;gpt-5-codex;kimi-k2-6;minimax-m2-7,DeepSeek;Google;OpenAI;OpenAI;Moonshot AI;MiniMax
C2413,knn_microcluster,values_disclosure,euclidean,KNN_k=8,discard,8,6.49617299,0.706293706,0.717416442,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M013;M016;M017;M019;M024;M053;M055;M075,gemini-3-1-pro;gemini-3-flash-preview;gemma-4-26b-a4b;gemma-4-31b;glm-4-7;minimax-m2;opus-3;qwen3-6-plus,Google;Google;Google;Google;Z.ai;MiniMax;Anthropic;Qwen
C2414,knn_microcluster,values_disclosure,euclidean,KNN_k=4,discard,4,6.83454483,0.715284715,0.726248068,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M029;M041;M055;M075,gpt-5;grok-4;opus-3;qwen3-6-plus,OpenAI;xAI;Anthropic;Qwen
C2416,knn_microcluster,values_disclosure,euclidean,KNN_k=6,discard,6,6.6820982,0.717282717,0.727673816,21,A_CTRL1_owned_rate|A_CTRL2_owned_rate|A_CTRL3_owned_rate|A_G1_owned_rate|A_G2_owned_rate|A_G3_owned_rate|A_cache_broken_indeterminate_rate|A_cache_broken_owned_rate|A_cache_broken_recited_not_owned_rate|A_cache_broken_relocated_or_partial_rate|A_cache_broken_uncodeable_rate|A_direct_indeterminate_rate|A_direct_owned_rate|A_direct_recited_not_owned_rate|A_direct_relocated_or_partial_rate|A_direct_uncodeable_rate|A_world_indeterminate_rate|A_world_owned_rate|A_world_recited_not_owned_rate|A_world_relocated_or_partial_rate|A_world_uncodeable_rate,M013;M017;M019;M024;M052;M075,gemini-3-1-pro;gemma-4-26b-a4b;gemma-4-31b;glm-4-7;kimi-k2-thinking;qwen3-6-plus,Google;Google;Google;Z.ai;Moonshot AI;Qwen
